# Top 10 Exported Commodities (Sorted by Value in 2079/80),,,,,,,,,,,
Product,Unit,Quantity 2078/79,Quantity 2079/80,Value (Rs. Billion) 2078/79,Value (Rs. Billion) 2079/80,Quantity Change (%),Value Change (%),% Share in Total Export 2078/79,% Share in Total Export 2079/80,,
Refined Palm Oil,LTR,198302602,97990086,41.06,20.51,-50.59,-50.05,20.53,13.05,,
Synthetic Yarn,KG,12201832,10808826,12.57,12.2,-11.42,-2.94,6.29,7.77,,
Woolen Carpet,SQM,495353,407553,11.59,9.5,-17.73,-18.04,5.8,4.73,,
Refined Soya-bean Oil,KG,195481197,31288259,48.12,8.48,-83.99,-82.39,24.06,5.39,,
Cardamom,KG,5367443,9984149,4.81,8.28,86.01,71.95,2.41,5.27,,
Readymade Garments,PCS,20450150,12887754,7.14,7.82,-36.97,9.49,3.57,4.98,,
Iron Sheet,KG,66679878,54347886,2.55,7.2,-18.49,181.83,1.28,4.58,,
Juice,LTR,82015526,58901856,6.08,6.64,-28.18,9.16,3.04,4.22,,
Jute Goods,KG,5230613,3601579,4.94,5.23,-31.15,5.76,2.47,3.33,,
Jute Fabric,SQM,2331076,1633249,6.05,4.77,-29.93,-21.06,3.02,3.04,,
,,,,,,,,,,,
# Top 10 Imported Commodities (Sorted by Value in 2079/80),,,,,,,,,,,
Product,Unit,Quantity 2078/79,Quantity 2079/80,Value (Rs. Billion) 2078/79,Value (Rs. Billion) 2079/80,Revenue (Rs. Billion) 2078/79,Revenue (Rs. Billion) 2079/80,% Change in Qty,% Change in Value,% Share in Total Import 2078/79,% Share in Total Import 2079/80
Diesel,KL,1754933,1408494,168.23,153.77,64.71,55.15,-19.74,-8.6,8.76,9.54
Petrol,KL,738526,680807,71.39,66.84,58.18,58.18,-7.82,-6.38,3.72,4.15
L.P. Gas,MT,535270932,514310688,65.58,58.18,12.22,10.85,-4.02,-11.29,3.41,3.61
Gold,GRM,2524262,3907884,42.7,43.91,3.33,36.51,36.51,2.8,2.22,2.72
Pure Iron,KG,415733354,779730768,23.98,43.6,2.2,3.26,87.55,81.81,1.25,2.71
Crude Soya-bean Oil,LTR,332983546,177509350,56.18,35.58,5.76,5.08,-46.67,-36.67,2.93,2.21
Other Coal,KG,1740764608,1180189198,35.96,27.12,3.2,5.05,-32.2,-24.57,1.87,1.68
Mobile Telephone,PCS,6012044,3935367,41.16,26.51,6.29,4.89,-34.76,-35.58,2.14,1.65
Polythene Granules,KG,169152714,156212520,30.38,25.93,5.91,5.21,-7.65,-14.64,1.58,1.61
Crude palm oil,LTR,376602141,169022509,59.31,25.92,2.69,1.87,-58.8,-38.9,2.05,1.61
